judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
Gemma-2-9B,summeval,coh,0.1,0.6172,0.6235,-0.0062,0.0084,0.318,1_5,10,100
Gemma-2-9B,summeval,coh,0.2,0.6184,0.6226,-0.0043,0.0069,0.337,1_5,20,100
Gemma-2-9B,summeval,coh,0.3,0.6192,0.6230,-0.0037,0.0069,0.364,1_5,30,100
Gemma-2-9B,summeval,coh,0.4,0.6198,0.6235,-0.0037,0.0073,0.347,1_5,40,100
Gemma-2-9B,summeval,coh,0.5,0.6183,0.6225,-0.0042,0.0085,0.354,1_5,50,100
Gemma-2-9B,summeval,con,0.1,0.4709,0.4810,-0.0101,0.0101,0.445,1_5,10,96
Gemma-2-9B,summeval,con,0.2,0.4706,0.4811,-0.0105,0.0106,0.487,1_5,19,96
Gemma-2-9B,summeval,con,0.3,0.4710,0.4811,-0.0101,0.0106,0.552,1_5,29,96
Gemma-2-9B,summeval,con,0.4,0.4717,0.4815,-0.0098,0.0107,0.615,1_5,38,96
Gemma-2-9B,summeval,con,0.5,0.4713,0.4803,-0.0091,0.0113,0.678,1_5,48,96
Gemma-2-9B,summeval,flu,0.1,0.3860,0.3634,+0.0226,0.0149,0.086,1_5,10,97
Gemma-2-9B,summeval,flu,0.2,0.3867,0.3628,+0.0239,0.0140,0.061,1_5,19,97
Gemma-2-9B,summeval,flu,0.3,0.3876,0.3626,+0.0250,0.0139,0.036,1_5,29,97
Gemma-2-9B,summeval,flu,0.4,0.3903,0.3634,+0.0269,0.0121,0.017,1_5,39,97
Gemma-2-9B,summeval,flu,0.5,0.3903,0.3620,+0.0284,0.0122,0.005,1_5,48,97
Gemma-2-9B,summeval,rel,0.1,0.5392,0.5390,+0.0001,0.0066,0.192,1_5,10,100
Gemma-2-9B,summeval,rel,0.2,0.5392,0.5401,-0.0008,0.0082,0.146,1_5,20,100
Gemma-2-9B,summeval,rel,0.3,0.5369,0.5384,-0.0016,0.0099,0.141,1_5,30,100
Gemma-2-9B,summeval,rel,0.4,0.5359,0.5385,-0.0026,0.0115,0.118,1_5,40,100
Gemma-2-9B,summeval,rel,0.5,0.5351,0.5382,-0.0031,0.0138,0.107,1_5,50,100
Gemma-2-9B,newsroom,coh,0.1,0.5532,0.4674,+0.0858,0.0290,0.036,1_5,6,60
Gemma-2-9B,newsroom,coh,0.2,0.5650,0.4687,+0.0964,0.0180,0.005,1_5,12,60
Gemma-2-9B,newsroom,coh,0.3,0.5666,0.4656,+0.1010,0.0150,0.000,1_5,18,60
Gemma-2-9B,newsroom,coh,0.4,0.5694,0.4680,+0.1014,0.0154,0.000,1_5,24,60
Gemma-2-9B,newsroom,coh,0.5,0.5695,0.4672,+0.1023,0.0165,0.000,1_5,30,60
Gemma-2-9B,newsroom,flu,0.1,0.5731,0.5793,-0.0063,0.0212,0.182,1_5,6,60
Gemma-2-9B,newsroom,flu,0.2,0.5713,0.5791,-0.0078,0.0252,0.204,1_5,12,60
Gemma-2-9B,newsroom,flu,0.3,0.5708,0.5796,-0.0088,0.0291,0.223,1_5,18,60
Gemma-2-9B,newsroom,flu,0.4,0.5702,0.5811,-0.0109,0.0339,0.205,1_5,24,60
